sastp200,774.16,0.274143,0.206137
sastp200,778.121,0.243269,0.175018
sastp200,783.859,0.283829,0.216721
sastp200,766.797,0.241483,0.177327
sastp200,800.056,0.248549,0.180352
sastp200,783.946,0.236563,0.168385
sastp200,777.783,0.222377,0.153099
sastp200,786.565,0.31191,0.243041
sastp200,786.56,0.279729,0.212223
sastp200,786.215,0.221041,0.148883
sastp50,177.158,0.051815,0.03589
sastp50,181.281,0.048906,0.032055
sastp50,179.704,0.040125,0.023673
sastp50,177.177,0.03853,0.023115
sastp50,181.396,0.040826,0.024373
sastp50,178.299,0.040003,0.02439
sastp50,181.476,0.035019,0.020113
sastp50,180.322,0.051786,0.03537
sastp50,180.545,0.04654,0.02919
sastp50,176.267,0.040919,0.024902
sastp50,183.504,0.049201,0.03212
sastp50,178.526,0.031846,0.015748
sastp50,174.79,0.037282,0.020654
sastp50,176.771,0.03962,0.023033
sastp50,176.118,0.040581,0.024461
sastp50,176.969,0.036337,0.020301
sastp50,179.86,0.033553,0.01778
sastp50,177.03,0.048547,0.032537
sastp50,179.143,0.051415,0.034717
sastp50,180.161,0.031171,0.015579
sastp50,187.038,0.040118,0.023742
sastp50,175.493,0.033939,0.018666
sastp50,181.234,0.036335,0.020482
sastp50,182.382,0.051078,0.034689
sastp50,179.162,0.039061,0.023066
sastp50,175.613,0.053374,0.037429
sastp50,184.075,0.030739,0.015122
sastp50,174.385,0.037693,0.020033
sastp50,174.1,0.052357,0.036778
sastp50,175.957,0.03617,0.020622
sastp500,2045.71,0.50283,0.352803
sastp500,2118.88,1.03757,0.900485
sastp500,2122.96,0.889273,0.752764
sastp500,2027.16,0.491896,0.357793
sastp500,2146.13,0.980255,0.840867
sastp10,39.5976,0.00386,0.001786
sastp10,41.8889,0.003818,0.001781
sastp10,41.8889,0.059,0.014375
sastp10,41.8889,0.00409,0.002036
sastp10,41.8889,0.08029,0.001812
sastp10,41.8889,0.003748,0.001698
sastp10,41.8889,0.008315,0.006255
sastp10,41.8889,0.003318,0.001341
sastp10,41.8889,0.083474,0.081378
sastp10,41.8889,0.003761,0.001784
sastp10,41.8889,0.009902,0.001692
sastp10,41.8889,0.003642,0.001657
sastp10,41.8889,0.045765,0.043706
sastp10,41.8889,0.003807,0.001875
sastp10,41.8889,0.056141,0.001421
sastp10,41.8889,0.003725,0.001752
sastp10,41.8889,0.008488,0.002225
sastp10,41.8889,0.004079,0.00205
sastp10,41.8889,0.052521,0.050451
sastp10,41.8889,0.002508,0.000489
sastp10,41.8889,0.00303,0.000996
sastp10,41.8889,0.005909,0.003903
sastp10,39.8889,0.045191,0.002137
sastp10,41.8889,0.003075,0.00109
sastp10,37.1494,0.003256,0.00126
sastp10,41.8889,0.007941,0.005876
sastp10,39.8889,0.047394,0.045404
sastp10,41.8889,0.003688,0.001641
sastp10,41.8889,0.009132,0.001028
sastp10,41.8889,0.004026,0.001993
sastp100,414.16,0.147591,0.11205
sastp100,425.054,0.17701,0.140381
sastp100,431.079,0.129427,0.094635
